Item Description,Item #,Inv Date,UOM ,Qty ,Sum of extprice,
,,14-Sep-15,CS,3,$35.85,CA
,,08-Sep-15,CS,6,$79.20,CA
,,21-Sep-15,CS,3,$44.85,CA
,,01-Sep-15,CS,1,$12.70,CA
,,15-Sep-15,CS,3,$35.85,CA
,,22-Sep-15,CS,1,$14.95,CA
CUCUMBER HOT HOUSE 12 CT Total,,,,25,$331.93,
CUCUMBER SELECT 1-1/9 BU,2710,10-Sep-15,3 #,4,$13.40,FL
,,10-Sep-15,CS,1,$18.76,FL
,,17-Sep-15,3 #,5,$16.20,FL
,,17-Sep-15,CS,1,$16.90,FL
,,24-Sep-15,3 #,4,$13.24,FL
,,24-Sep-15,CS,2,$36.02,FL
,,28-Sep-15,CS,2,$34.30,FL
,,03-Sep-15,3 #,5,$16.75,FL
,,14-Sep-15,3 #,1,$3.24,FL
,,14-Sep-15,CS,1,$16.90,FL
,,08-Sep-15,3 #,10,$33.50,FL
,,08-Sep-15,CS,2,$37.52,FL
,,21-Sep-15,3 #,3,$9.93,FL
,,01-Sep-15,3 #,9,$30.15,FL
,,15-Sep-15,3 #,9,$29.16,FL
,,15-Sep-15,CS,1,$16.90,FL
,,23-Sep-15,3 #,3,$9.93,FL
,,29-Sep-15,3 #,13,$42.38,FL
,,22-Sep-15,3 #,4,$13.24,FL
,,22-Sep-15,CS,1,$18.01,FL
CUCUMBER SELECT 1-1/9 BU Total,,,,81,$426.43,
EGGS LARGE 15 DZ USA,7910,10-Sep-15,CS,1,$41.05,FL
,,28-Sep-15,CS,1,$34.60,FL
,,08-Sep-15,CS,2,$82.10,FL
,,21-Sep-15,CS,1,$38.80,FL
,,01-Sep-15,CS,1,$43.00,FL
,,15-Sep-15,CS,2,$86.00,FL
,,29-Sep-15,CS,1,$34.60,FL
EGGS LARGE 15 DZ USA Total,,,,9,$360.15,
EGGS LARGE 30 DZ USA,7920,03-Sep-15,CS,1,$83.05,FL
,,21-Sep-15,CS,1,$74.65,FL
EGGS LARGE 30 DZ USA Total,,,,2,$157.70,
GRAPES GREEN SEEDLESS,1760,17-Sep-15,CS,1,$22.47,CA
,,24-Sep-15,CS,3,$65.82,CA
,,28-Sep-15,CS,2,$43.86,CA
,,03-Sep-15,CS,2,$56.86,CA
,,08-Sep-15,CS,46,"$1,006.48",CA
,,01-Sep-15,CS,4,$113.72,CA
,,15-Sep-15,CS,5,$112.35,CA
,,23-Sep-15,CS,2,$43.88,CA
,,29-Sep-15,CS,5,$109.65,CA
GRAPES GREEN SEEDLESS Total,,,,70,"$1,575.09",
HONEYDEW 5/6 CT,1820,21-Sep-15,CS,58,$932.64,CA
,,22-Sep-15,CS,-18,-$289.44,CA
HONEYDEW 5/6 CT Total,,,,40,$643.20,
KALE GREEN 24 CT USA,2140,10-Sep-15,CS,7,$97.65,SC
,,10-Sep-15,EA,12,$35.40,SC
,,17-Sep-15,CS,2,$44.90,SC
,,17-Sep-15,EA,6,$20.22,SC
,,24-Sep-15,CS,3,$41.85,SC
,,24-Sep-15,EA,12,$35.40,SC
,,28-Sep-15,CS,4,$55.80,SC
,,28-Sep-15,EA,3,$8.85,SC
,,03-Sep-15,CS,4,$89.80,SC
,,03-Sep-15,EA,1,$3.37,SC
,,14-Sep-15,CS,2,$44.90,SC
,,14-Sep-15,EA,5,$16.85,SC
,,08-Sep-15,CS,7,$97.65,SC
,,08-Sep-15,EA,31,$91.45,SC
,,21-Sep-15,CS,1,$13.95,SC
,,21-Sep-15,EA,3,$8.85,SC
,,01-Sep-15,CS,2,$44.90,SC
,,01-Sep-15,EA,22,$74.14,SC
,,15-Sep-15,CS,4,$89.80,SC
,,15-Sep-15,EA,12,$40.44,SC
,,23-Sep-15,CS,1,$13.95,SC
,,23-Sep-15,EA,7,$20.65,SC
,,29-Sep-15,CS,3,$41.85,SC
,,29-Sep-15,EA,15,$44.25,SC
,,22-Sep-15,CS,2,$27.90,SC
,,22-Sep-15,EA,4,$11.80,SC
KALE GREEN 24 CT USA Total,,,,175,"$1,116.57",
LEMONS 165 CT,1640,24-Sep-15,DOZ,4,$18.92,CA
,,28-Sep-15,DOZ,2,$9.50,CA
,,03-Sep-15,DOZ,1,$4.89,CA
,,14-Sep-15,DOZ,1,$4.78,CA
,,08-Sep-15,DOZ,3,$14.67,CA
,,01-Sep-15,DOZ,3,$14.67,CA
,,15-Sep-15,DOZ,1,$4.78,CA
,,29-Sep-15,DOZ,1,$4.75,CA
LEMONS 165 CT Total,,,,16,$76.96,
"LETTUCE 1/8"" SHRED 4/5 LB",6180,10-Sep-15,EACH,9,$68.85,CA
,,17-Sep-15,CS,1,$21.59,CA
,,17-Sep-15,EACH,7,$53.55,CA
,,24-Sep-15,CS,1,$21.59,CA
,,24-Sep-15,EACH,11,$84.15,CA
,,28-Sep-15,CS,4,$94.36,CA
,,03-Sep-15,CS,1,$21.59,CA
,,03-Sep-15,EACH,7,$53.55,CA
,,14-Sep-15,CS,3,$64.77,CA
,,14-Sep-15,EACH,2,$15.30,CA
,,08-Sep-15,CS,8,$172.72,CA
,,08-Sep-15,EACH,7,$53.55,CA
,,21-Sep-15,CS,2,$43.18,CA
,,21-Sep-15,EACH,1,$7.65,CA
,,01-Sep-15,CS,5,$107.95,CA
,,01-Sep-15,EACH,3,$22.95,CA
,,15-Sep-15,CS,6,$129.54,CA
,,15-Sep-15,EACH,8,$61.20,CA
,,23-Sep-15,CS,2,$43.18,CA
,,23-Sep-15,EACH,2,$15.30,CA
,,29-Sep-15,CS,8,$188.72,CA
,,29-Sep-15,EACH,7,$57.05,CA
,,22-Sep-15,CS,2,$43.18,CA
,,22-Sep-15,EACH,2,$15.30,CA
"LETTUCE 1/8"" SHRED 4/5 LB Total",,,,109,"$1,460.77",
LETTUCE SWEET SPRING MIX 3/1 LB,2220,17-Sep-15,CS,2,$37.50,CA
,,24-Sep-15,CS,3,$34.35,CA
,,03-Sep-15,CS,1,$10.53,CA
,,08-Sep-15,CS,1,$10.58,CA
,,01-Sep-15,CS,1,$10.53,CA
,,29-Sep-15,CS,2,$23.60,CA
,,22-Sep-15,CS,2,$22.90,CA
LETTUCE SWEET SPRING MIX 3/1 LB Total,,,,12,$149.99,
ONIONS RED JUMBO 25 LB,4810,24-Sep-15,5 #,1,$6.45,CA
,,08-Sep-15,5 #,1,$6.83,CA
,,08-Sep-15,CS,1,$18.31,CA
,,21-Sep-15,5 #,1,$6.45,CA
,,01-Sep-15,5 #,1,$6.93,CA
,,22-Sep-15,5 #,1,$6.45,CA
ONIONS RED JUMBO 25 LB Total,,,,6,$51.42,
ONIONS YELLOW JUMBO ROUND 50 LB,4850,10-Sep-15,5 #,2,$8.12,CA
,,17-Sep-15,5 #,3,$12.12,CA
,,24-Sep-15,5 #,2,$7.96,CA
,,24-Sep-15,CS,1,$15.60,CA
,,03-Sep-15,5 #,5,$21.85,CA
,,14-Sep-15,5 #,1,$4.04,CA
,,08-Sep-15,5 #,5,$20.30,CA
,,08-Sep-15,CS,2,$32.50,CA
,,01-Sep-15,5 #,9,$39.33,CA
,,15-Sep-15,5 #,9,$36.36,CA
,,23-Sep-15,5 #,1,$3.98,CA
,,29-Sep-15,5 #,5,$21.30,CA
,,22-Sep-15,5 #,2,$7.96,CA
ONIONS YELLOW JUMBO ROUND 50 LB Total,,,,47,$231.42,
PEARS ASIAN 16 CT,1945,10-Sep-15,CS,1,$24.14,CA
,,08-Sep-15,CS,110,"$2,655.40",CA
PEARS ASIAN 16 CT Total,,,,111,"$2,679.54",
PEARS BARTLETT  90,1880,01-Sep-15,CS,1,$30.47,WA
PEARS BARTLETT  90 Total,,,,1,$30.47,
PEARS D'ANJOU 90,1930,08-Sep-15,CS,1,$27.20,WA
,,29-Sep-15,CS,1,$36.33,WA
,,22-Sep-15,CS,1,$36.33,WA
PEARS D'ANJOU 90 Total,,,,3,$99.86,
PEPPER GREEN LARGE 1-1/9 BU,2820,10-Sep-15,5 #,6,$42.54,NJ
,,17-Sep-15,5 #,5,$33.95,NJ
,,17-Sep-15,CS,1,$18.17,NJ
,,24-Sep-15,5 #,5,$36.20,NJ
,,24-Sep-15,CS,2,$39.90,NJ
,,03-Sep-15,5 #,7,$49.56,NJ
,,03-Sep-15,CS,1,$19.31,NJ
,,14-Sep-15,5 #,1,$6.79,NJ
,,08-Sep-15,5 #,9,$63.81,NJ
,,08-Sep-15,CS,3,$58.05,NJ
,,21-Sep-15,5 #,4,$28.96,NJ
,,01-Sep-15,5 #,11,$77.88,NJ
,,15-Sep-15,5 #,10,$67.90,NJ
,,23-Sep-15,5 #,2,$14.48,NJ
,,29-Sep-15,5 #,4,$26.96,NJ
,,29-Sep-15,CS,1,$17.97,NJ
,,22-Sep-15,5 #,5,$36.20,NJ
,,22-Sep-15,CS,1,$19.95,NJ
PEPPER GREEN LARGE 1-1/9 BU Total,,,,78,$658.58,
PEPPER RED 1-1/9 BU,2870,21-Sep-15,2 #,1,$6.82,AZ
,,01-Sep-15,2 #,2,$13.00,AZ
,,15-Sep-15,2 #,2,$12.48,AZ
,,29-Sep-15,2 #,1,$4.89,AZ
,,22-Sep-15,2 #,1,$6.82,AZ
PEPPER RED 1-1/9 BU Total,,,,7,$44.01,
POTATOES IDAHO 080 CT,4308,01-Sep-15,5 #,-10,-$43.50,ID
POTATOES IDAHO 080 CT Total,,,,-10,-$43.50,
POTATOES IDAHO 100 CT CARTON,4310B,01-Sep-15,CS,11,$168.74,ID
POTATOES IDAHO 100 CT CARTON Total,,,,11,$168.74,
RADISH RED 14/1 LB,3007,01-Sep-15,EA,2,$6.76,MI
RADISH RED 14/1 LB Total,,,,2,$6.76,
ROMAINE CHOPPED 6/2 LB,6300,10-Sep-15,CS,14,$280.84,CA
,,17-Sep-15,CS,16,$320.96,CA
,,24-Sep-15,CS,15,$329.25,CA
,,24-Sep-15,EACH,6,$38.58,CA
,,28-Sep-15,CS,11,$191.95,CA
,,03-Sep-15,CS,11,$220.66,CA
,,14-Sep-15,CS,13,$260.78,CA
,,08-Sep-15,CS,36,$722.16,CA
,,21-Sep-15,CS,13,$285.35,CA
,,01-Sep-15,CS,16,$320.96,CA
,,15-Sep-15,CS,20,$401.20,CA
,,23-Sep-15,CS,4,$87.80,CA
,,29-Sep-15,CS,18,$314.10,CA
,,29-Sep-15,EACH,4,$22.28,CA
,,22-Sep-15,CS,6,$131.70,CA
,,02-Sep-15,CS,1,$20.06,CA
ROMAINE CHOPPED 6/2 LB Total,,,,204,"$3,948.63",
SALAD SEPARATE W/COLOR 4/5 LB,6340,17-Sep-15,CS,1,$23.25,CA
,,08-Sep-15,CS,3,$69.75,CA
,,01-Sep-15,CS,2,$46.50,CA
,,15-Sep-15,CS,4,$93.00,CA
,,29-Sep-15,CS,4,$70.60,CA
,,22-Sep-15,CS,1,$18.11,CA
SALAD SEPARATE W/COLOR 4/5 LB Total,,,,15,$321.21,
SPINACH 4/2.5 LB,2320,08-Sep-15,EACH,1,$7.75,CA
,,15-Sep-15,EACH,2,$15.50,CA
,,29-Sep-15,CS,1,$17.92,CA
,,22-Sep-15,EACH,1,$7.49,CA
SPINACH 4/2.5 LB Total,,,,5,$48.66,
TOMATOES 6X6 25 LB,5880,10-Sep-15,5 #,5,$36.40,TN
,,10-Sep-15,CS,3,$60.39,TN
,,17-Sep-15,5 #,5,$36.15,TN
,,17-Sep-15,CS,3,$59.79,TN
,,24-Sep-15,5 #,6,$43.74,TN
,,24-Sep-15,CS,1,$20.16,TN
,,28-Sep-15,CS,2,$42.32,TN
,,03-Sep-15,5 #,4,$29.12,TN
,,03-Sep-15,CS,2,$40.26,TN
,,14-Sep-15,CS,4,$79.72,TN
,,08-Sep-15,5 #,3,$21.84,TN
,,08-Sep-15,CS,13,$261.69,TN
,,21-Sep-15,CS,2,$40.32,TN
,,01-Sep-15,5 #,2,$14.56,TN
,,01-Sep-15,CS,3,$60.39,TN
,,15-Sep-15,5 #,4,$28.92,TN
,,15-Sep-15,CS,5,$99.65,TN
,,29-Sep-15,5 #,3,$22.62,TN
,,29-Sep-15,CS,9,$190.44,TN
,,22-Sep-15,CS,4,$80.64,TN
TOMATOES 6X6 25 LB Total,,,,83,"$1,269.12",
TOMATOES CHERRY 12/1 PINT,5820,10-Sep-15,CS,2,$47.60,FL
,,10-Sep-15,EACH,6,$27.78,FL
,,24-Sep-15,EACH,2,$8.92,GA
,,03-Sep-15,CS,1,$23.80,GA
,,14-Sep-15,CS,2,$44.80,GA
,,08-Sep-15,CS,1,$23.80,GA
,,23-Sep-15,CS,1,$22.14,GA
TOMATOES CHERRY 12/1 PINT Total,,,,15,$198.84,
TOMATOES GRAPE 12/1 PINT,5840,10-Sep-15,CS,1,$17.44,FL
,,10-Sep-15,EACH,4,$14.80,FL
,,17-Sep-15,CS,2,$27.04,FL
,,17-Sep-15,EACH,6,$20.28,FL
,,24-Sep-15,CS,4,$55.32,FL
,,24-Sep-15,EACH,12,$40.80,FL
,,28-Sep-15,CS,2,$27.68,FL
,,03-Sep-15,CS,2,$36.88,FL
,,03-Sep-15,EACH,16,$60.64,FL
,,14-Sep-15,CS,4,$54.08,GA
,,08-Sep-15,CS,8,$139.52,FL
,,21-Sep-15,CS,2,$27.66,GA
,,01-Sep-15,CS,7,$129.08,GA
,,15-Sep-15,CS,8,$108.16,GA
,,29-Sep-15,CS,3,$41.52,FL
,,29-Sep-15,EACH,6,$20.40,FL
,,22-Sep-15,CS,2,$27.66,FL
,,18-Sep-15,CS,-0.08,-$1.08,GA
TOMATOES GRAPE 12/1 PINT Total,,,,88.92,$847.88,
GRAPES RED SEEDLESS,1750,10-Sep-15,CS,1,$24.13,CA
,,24-Sep-15,CS,1,$23.94,CA
,,14-Sep-15,CS,48,"$1,149.12",CA
,,08-Sep-15,CS,1,$24.13,CA
,,01-Sep-15,CS,3,$85.29,CA
,,15-Sep-15,CS,4,$95.76,CA
,,23-Sep-15,CS,1,$23.94,CA
,,29-Sep-15,CS,2,$43.86,CA
,,22-Sep-15,CS,4,$95.76,CA
GRAPES RED SEEDLESS Total,,,,65,"$1,565.93",
ORANGE CA 138,1690,10-Sep-15,CS,28,$805.56,CA
,,17-Sep-15,CS,27,$841.32,CA
,,24-Sep-15,CS,26,$858.26,CA
,,28-Sep-15,CS,23,$769.35,CA
,,03-Sep-15,CS,22,$663.52,CA
,,14-Sep-15,CS,15,$467.40,CA
,,08-Sep-15,CS,38,"$1,093.26",CA
,,21-Sep-15,CS,20,$660.20,CA
,,01-Sep-15,CS,32,$965.12,CA
,,15-Sep-15,CS,25,$779.00,CA
,,23-Sep-15,CS,7,$231.07,CA
,,29-Sep-15,CS,23,$769.35,CA
,,22-Sep-15,CS,12,$396.12,CA
,,09-Sep-15,CS,4,$115.08,CA
ORANGE CA 138 Total,,,,302,"$9,414.61",
BERRIES BLACK 12/6 OZ,1540,28-Sep-15,CS,21,$628.53,GUATEMALA
BERRIES BLACK 12/6 OZ Total,,,,21,$628.53,
SQUASH YELLOW MEDIUM,4160,10-Sep-15,CS,1,$20.95,FL
,,24-Sep-15,CS,1,$10.35,FL
SQUASH YELLOW MEDIUM Total,,,,2,$31.30,
KIWI TRAY 27/36,1780,10-Sep-15,CS,1,$12.92,CHILI
KIWI TRAY 27/36 Total,,,,1,$12.92,
ASPARAGUS STANDARD 11 LB,2410,28-Sep-15,CS,41,"$1,238.61",PERU
ASPARAGUS STANDARD 11 LB Total,,,,41,"$1,238.61",
JICAMA ROOT 40 LB,3050,08-Sep-15,CS,23,$570.40,MEXICO
JICAMA ROOT 40 LB Total,,,,23,$570.40,
LETTUCE BUTTER 24 CT,2150,28-Sep-15,CS,8,$140.32,CA
,,29-Sep-15,CS,14,$245.56,CA
LETTUCE BUTTER 24 CT Total,,,,22,$385.88,
PLUMS RED VF,1967,24-Sep-15,CS,3,$74.04,CA
,,21-Sep-15,CS,64,"$1,579.52",CA
,,22-Sep-15,CS,1,$24.68,CA
PLUMS RED VF Total,,,,68,"$1,678.24",
POTATO SWEET  90 CT,4690,14-Sep-15,CS,14,$212.10,NC
POTATO SWEET  90 CT Total,,,,14,$212.10,
POTATOES PURPLE 50 LB S/O,4255,21-Sep-15,CS,28,"$1,230.60",CA
POTATOES PURPLE 50 LB S/O Total,,,,28,"$1,230.60",
TOMATILLOS 35-40 LB MEXICO,5810,14-Sep-15,5 #,28,$152.32,MEXICO
,,14-Sep-15,CS,10,$191.10,MEXICO
TOMATILLOS 35-40 LB MEXICO Total,,,,38,$343.42,
TOMATOES ROMA 25 LB,5850,24-Sep-15,CS,1,$16.37,TN
,,21-Sep-15,CS,40,$654.80,TN
,,23-Sep-15,CS,1,$16.37,TN
TOMATOES ROMA 25 LB Total,,,,42,$687.54,
WATERMELON SDLS 4/5 CT,1830,28-Sep-15,EACH,73,$561.37,FL
,,03-Sep-15,EACH,4,$39.12,FL
,,15-Sep-15,EACH,5,$37.60,FL
WATERMELON SDLS 4/5 CT Total,,,,82,$638.09,
CABBAGE GRN SHRED 4/5  W/SEP COLOR,6040,10-Sep-15,EACH,3,$23.55,CA
,,17-Sep-15,CS,1,$16.06,CA
,,17-Sep-15,EACH,1,$6.84,CA
,,24-Sep-15,EACH,4,$26.60,CA
,,08-Sep-15,CS,1,$19.59,CA
,,08-Sep-15,EACH,5,$39.25,CA
,,01-Sep-15,CS,1,$19.59,CA
,,01-Sep-15,EACH,2,$15.70,CA
,,15-Sep-15,CS,1,$16.06,CA
,,29-Sep-15,CS,1,$15.87,CA
,,29-Sep-15,EACH,6,$40.68,CA
CABBAGE GRN SHRED 4/5  W/SEP COLOR Total,,,,26,$239.79,
"PEACHES 25 LB 2 1/2""",1872,10-Sep-15,CS,2,$38.08,NJ
,,17-Sep-15,CS,6,$114.24,NJ
,,03-Sep-15,CS,3,$57.12,NJ
,,08-Sep-15,CS,9,$171.36,NJ
,,01-Sep-15,CS,6,$114.24,NJ
,,15-Sep-15,CS,8,$152.32,NJ
,,29-Sep-15,CS,7,$142.66,NJ
,,22-Sep-15,CS,10,$200.30,NJ
"PEACHES 25 LB 2 1/2"" Total",,,,51,$990.32,
PEARS BARTLETT 80/90,1880,10-Sep-15,CS,1,$30.47,WA
,,17-Sep-15,CS,3,$71.55,WA
,,24-Sep-15,CS,3,$90.99,WA
,,15-Sep-15,CS,1,$23.85,WA
,,29-Sep-15,CS,1,$28.92,WA
PEARS BARTLETT 80/90 Total,,,,9,$245.78,
GRAPES RED MUSCADINE 20 LB,1762,01-Sep-15,CS,23,$619.85,SC
,,04-Sep-15,CS,-8,-$215.60,SC
GRAPES RED MUSCADINE 20 LB Total,,,,15,$404.25,
ROMAINE  LINER 24 CT,2270,10-Sep-15,CS,4,$127.72,CA
,,14-Sep-15,CS,1,$31.93,CA
,,08-Sep-15,CS,4,$127.72,CA
,,01-Sep-15,CS,1,$26.47,CA
,,15-Sep-15,CS,1,$31.93,CA
ROMAINE  LINER 24 CT Total,,,,11,$345.77,
BERRIES BLUE 12/1 PINT,1550,14-Sep-15,CS,3,$98.76,MI
,,08-Sep-15,CS,5,$164.60,MI
,,01-Sep-15,CS,1,$33.95,MI
,,15-Sep-15,CS,2,$65.84,MI
BERRIES BLUE 12/1 PINT Total,,,,11,$363.15,
MINT 1 LB,5300,28-Sep-15,CS,3,$26.22,COLUMBIA
MINT 1 LB Total,,,,3,$26.22,
POTATO SWEET JUMBO 40 LB,4610,14-Sep-15,CS,17,$273.87,NC
,,15-Sep-15,CS,-5,-$80.55,NC
POTATO SWEET JUMBO 40 LB Total,,,,12,$193.32,
ROMAINE LINER 24 CT,2270,24-Sep-15,CS,1,$36.56,CA
,,28-Sep-15,CS,1,$25.92,CA
,,23-Sep-15,CS,1,$36.56,CA
,,29-Sep-15,CS,1,$25.92,CA
,,22-Sep-15,CS,1,$36.56,CA
ROMAINE LINER 24 CT Total,,,,5,$161.52,
APPLES GRANNY SMITH 125,1215,01-Oct-15,CS,11,$340.12,WA
,,08-Oct-15,6CT,4,$15.16,WA
,,15-Oct-15,6CT,11,$40.69,WA
,,15-Oct-15,CS,2,$57.70,WA
,,22-Oct-15,6CT,3,$11.07,WA
,,22-Oct-15,CS,9,$259.65,WA
,,12-Oct-15,6CT,8,$30.32,WA
,,29-Oct-15,CS,5,$151.75,WA
,,19-Oct-15,6CT,2,$7.38,WA
,,26-Oct-15,CS,7,$212.45,WA
,,05-Oct-15,6CT,13,$49.27,WA
,,27-Oct-15,CS,17,$515.95,WA
,,06-Oct-15,6CT,4,$15.16,WA
,,06-Oct-15,CS,1,$30.80,WA
,,13-Oct-15,6CT,1,$3.79,WA
,,20-Oct-15,6CT,11,$40.59,WA
APPLES GRANNY SMITH 125 Total,,,,109,"$1,781.85",
APPLES RED DEL 125 XF,1390,01-Oct-15,CS,34,$813.28,WA
,,08-Oct-15,CS,34,$818.04,WA
,,15-Oct-15,CS,42,"$1,060.68",WA
,,22-Oct-15,CS,33,$772.20,WA
,,12-Oct-15,CS,10,$240.60,WA
,,29-Oct-15,CS,24,$582.72,WA
,,19-Oct-15,CS,17,$397.80,WA
,,26-Oct-15,CS,21,$509.88,WA
,,05-Oct-15,CS,23,$553.38,WA
,,27-Oct-15,CS,33,$801.24,WA
,,06-Oct-15,CS,42,"$1,010.52",WA
,,13-Oct-15,CS,43,"$1,038.76",WA
,,20-Oct-15,CS,46,"$1,076.40",WA
,,21-Oct-15,CS,3,$70.20,WA
APPLES RED DEL 125 XF Total,,,,405,"$9,745.70",
BANANAS IP 150 CT,1502,01-Oct-15,CS,17,$356.15,HONDURAS
,,08-Oct-15,CS,16,$335.20,HONDURAS
,,15-Oct-15,CS,16,$335.20,HONDURAS
,,22-Oct-15,CS,15,$314.25,HONDURAS
,,12-Oct-15,CS,15,$314.25,HONDURAS
,,29-Oct-15,CS,8,$167.60,HONDURAS
,,19-Oct-15,CS,19,$398.05,HONDURAS
,,26-Oct-15,CS,22,$460.90,HONDURAS
,,05-Oct-15,CS,23,$481.85,HONDURAS
,,27-Oct-15,CS,19,$398.05,HONDURAS
,,06-Oct-15,CS,20,$419.00,HONDURAS
,,13-Oct-15,CS,21,$439.95,HONDURAS
,,20-Oct-15,CS,20,$419.00,HONDURAS
,,21-Oct-15,CS,3,$62.85,HONDURAS
,,14-Oct-15,CS,0,$0.00,HONDURAS
BANANAS IP 150 CT Total,,,,234,"$4,902.30",
BERRIES BLUE 12/6 OZ,1549,01-Oct-15,CS,1,$30.95,MI
,,15-Oct-15,CS,3,$111.57,MI
,,12-Oct-15,CS,2,$66.40,MI
,,19-Oct-15,CS,1,$52.70,MI
,,05-Oct-15,CS,6,$199.20,MI
,,27-Oct-15,CS,1,$54.70,MI
,,06-Oct-15,EA,11,$55.22,MI
,,13-Oct-15,CS,3,$99.60,MI
BERRIES BLUE 12/6 OZ Total,,,,28,$670.34,
BERRIES STRAW DRISCOLL 8/1 LB,1570,01-Oct-15,CS,1,$24.23,CA
,,15-Oct-15,CS,1,$28.45,CA
,,12-Oct-15,CS,2,$49.10,CA
,,12-Oct-15,EACH,3,$16.56,CA
,,19-Oct-15,CS,1,$31.95,CA
,,26-Oct-15,CS,1,$28.54,CA
,,05-Oct-15,CS,8,$196.40,CA
,,06-Oct-15,CS,2,$49.10,CA
,,13-Oct-15,CS,4,$98.20,CA
,,21-Oct-15,CS,2,$63.90,CA
BERRIES STRAW DRISCOLL 8/1 LB Total,,,,25,$586.43,
BROCCOLI FLORETS---4/3 LB---,2506,01-Oct-15,CS,4,$79.20,CA
,,01-Oct-15,EA,10,$72.00,CA
,,08-Oct-15,CS,4,$111.52,CA
,,08-Oct-15,EA,3,$27.66,CA
,,15-Oct-15,CS,3,$83.64,CA
,,15-Oct-15,EA,4,$36.88,CA
,,22-Oct-15,CS,3,$84.90,CA
,,22-Oct-15,EA,7,$65.31,CA
,,12-Oct-15,CS,7,$195.16,CA
,,29-Oct-15,EA,7,$61.04,CA
,,19-Oct-15,CS,5,$141.50,CA
,,19-Oct-15,EA,6,$55.98,CA
,,26-Oct-15,CS,1,$25.88,CA
,,26-Oct-15,EA,2,$17.44,CA
,,05-Oct-15,CS,6,$167.28,CA
,,05-Oct-15,EA,6,$55.32,CA
,,27-Oct-15,EA,3,$26.16,CA
,,06-Oct-15,CS,3,$83.64,CA
,,06-Oct-15,EA,6,$55.32,CA
,,13-Oct-15,CS,1,$27.88,CA
,,13-Oct-15,EA,8,$73.76,CA
,,20-Oct-15,CS,4,$113.20,CA
,,20-Oct-15,EA,7,$65.31,CA
,,21-Oct-15,CS,2,$56.60,CA
,,02-Oct-15,CS,-1,-$28.30,CA
BROCCOLI FLORETS---4/3 LB--- Total,,,,111,"$1,754.28",
CABBAGE GREEN CTN 16-18 CT,2530,15-Oct-15,CS,1,$19.95,NC
CABBAGE GREEN CTN 16-18 CT Total,,,,1,$19.95,
CANTALOUPE 12 CT,1800,01-Oct-15,CS,1,$18.22,CA
,,12-Oct-15,EACH,6,$25.98,CA
,,29-Oct-15,CS,1,$21.90,CA
,,19-Oct-15,CS,1,$23.45,CA
,,05-Oct-15,CS,8,$166.08,CA
,,06-Oct-15,CS,1,$20.76,CA
CANTALOUPE 12 CT Total,,,,18,$276.39,
CARROT STICKS 4/5 LB,6060,01-Oct-15,CS,1,$25.43,CA
,,15-Oct-15,EA,3,$26.82,CA
,,22-Oct-15,EA,1,$8.84,CA
,,29-Oct-15,EA,1,$12.17,CA
,,06-Oct-15,EA,1,$8.94,CA
CARROT STICKS 4/5 LB Total,,,,7,$82.20,
CARROTS 100/2 OZ,6085,01-Oct-15,CS,11,$203.72,CA
,,08-Oct-15,CS,9,$177.12,CA
,,15-Oct-15,CS,10,$194.60,CA
,,29-Oct-15,CS,3,$58.02,CA
,,19-Oct-15,CS,3,$58.02,CA
,,26-Oct-15,CS,5,$96.70,CA
,,05-Oct-15,CS,2,$39.36,CA
,,27-Oct-15,CS,5,$96.70,CA
,,06-Oct-15,CS,5,$98.40,CA
,,13-Oct-15,CS,7,$137.32,CA
,,20-Oct-15,CS,4,$77.36,CA
,,21-Oct-15,CS,2,$38.68,CA
CARROTS 100/2 OZ Total,,,,66,"$1,276.00",
CARROTS BABY PEELED 30/1 LB,2570,01-Oct-15,CS,1,$23.60,CA
,,08-Oct-15,CS,1,$24.03,CA
,,08-Oct-15,EACH,8,$24.88,CA
,,15-Oct-15,CS,1,$24.50,CA
,,22-Oct-15,CS,8,$230.40,CA
,,12-Oct-15,CS,2,$48.06,CA
,,29-Oct-15,CS,1,$24.62,CA
,,19-Oct-15,CS,3,$86.40,CA
,,19-Oct-15,EACH,15,$49.20,CA
,,26-Oct-15,CS,3,$73.86,CA
,,23-Oct-15,CS,-7,-$201.60,CA
,,05-Oct-15,CS,5,$120.15,CA
,,06-Oct-15,CS,1,$24.03,CA
,,13-Oct-15,CS,2,$48.06,CA
,,13-Oct-15,EACH,10,$31.10,CA
,,20-Oct-15,CS,2,$57.60,CA
,,20-Oct-15,EACH,10,$32.80,CA
CARROTS BABY PEELED 30/1 LB Total,,,,66,$721.69,
CARROTS MATCHSTICK SHRED 4/5 LB,6080,01-Oct-15,EACH,6,$39.18,CA
,,08-Oct-15,EACH,4,$26.24,CA
,,15-Oct-15,EACH,5,$32.11,CA
,,22-Oct-15,CS,1,$22.95,CA
,,22-Oct-15,EACH,2,$15.98,CA
,,12-Oct-15,CS,1,$17.22,CA
,,29-Oct-15,EACH,1,$6.38,CA
,,19-Oct-15,CS,1,$22.95,CA
,,19-Oct-15,EACH,2,$15.98,CA
,,26-Oct-15,EACH,4,$25.52,CA
,,05-Oct-15,EACH,3,$19.68,CA
,,27-Oct-15,CS,1,$16.53,CA
,,27-Oct-15,EACH,1,$6.38,CA
,,06-Oct-15,EACH,2,$13.12,CA
,,13-Oct-15,CS,2,$34.44,CA
